nombre,poblacion,superficie,continente
Argentina,45376764,2780400,America
Japon,125800000,377975,Asia
Brasil,213993437,8515767,America
Alemania,83149300,357022,Europa
China,1411750000,9596961,Asia
India,1393409038,3287263,Asia
Estados Unidos,331893745,9833517,America
Indonesia,273523615,1904569,Asia
Pakistan,225199937,796095,Asia
Nigeria,211400708,923768,Africa
Rusia,145912025,17098242,Europa/Asia
Mexico,126014024,1964375,America
Etiopia,117876227,1104300,Africa
Filipinas,111046913,300000,Asia
Egipto,104258327,1001450,Africa
Vietnam,98168833,331210,Asia
Republica Democratica del Congo,92377993,2344858,Africa
Iran,85028759,1648195,Asia
Turquia,85042738,783562,Asia/Europa
Francia,67391582,551695,Europa
Tailandia,69950850,513120,Asia
Reino Unido,67081234,242495,Europa
Italia,59066225,301340,Europa
Sudafrica,60041994,1221037,Africa
Tanzania,61498437,945087,Africa
Myanmar,54806012,676578,Asia
Corea del Sur,51744876,100210,Asia
Colombia,50882891,1141748,America
Kenia,54985698,580367,Africa
España,47351567,505992,Europa
Argelia,44616624,2381741,Africa
Sudan,44909353,1861484,Africa
Ucrania,43733762,603500,Europa
Irak,41179350,438317,Asia
Afganistan,39835428,652230,Asia
Polonia,37840001,312685,Europa
Canada,38008007,9984671,America
Marruecos,37344795,446550,Africa
Arabia Saudita,35340683,2149690,Asia
